id,text,is_offensive,target
158efe55-dd14-42fe-8080-d82c89d4b1d8,kahve içtim yüzden uykusuzum,1,OTHER
112fee13-5d19-420e-b268-cb66064d803d,kürt zihniyeti,1,RACIST
d389656b-54f6-4db4-83ba-0bbe06cfde0f,parfüm kokundan burnumun direği sızladı,1,INSULT
7486fef9-83b8-4bbb-8541-561b5497c6cc,gavurlar yaptıysa doğrudur,1,RACIST
63bf4346-c53c-4c56-b7b0-471436860011,30 yaşını geçmiş kadın saaten sonra zor evlenir,1,SEXIST
fbc8db6d-bcab-4838-8906-67750e80704c,erkeğinden izin almayan kadın yapmamalıdır,1,SEXIST
e9f14465-d09a-482e-8785-7761e412d0c5,kaza seni suçlamıyorum senin hatan değildi,0,OTHER
191f0e25-bc80-47b7-aea5-c780d7e1a5ac,senin mal olduğunu türlü anlayamadım,1,INSULT
18a880f0-0798-412c-9331-0b8f90e9b832,akıllıca çözüm,0,OTHER
ecb79206-e79d-48de-92fc-0579a52566c9,halen devam etmekteyim,0,OTHER
c219c626-bc10-4924-92a8-da6188f326fe,çingene evinde kaymak olurmuş,1,RACIST
0028b0a4-3777-424e-8f94-069344a9e4fc,çocuğumun suriyelilerle dolu sınıfta olmasını istemiyorum,1,RACIST
e4383cc4-d827-4472-9bca-1045b45e7686,toplumun dardan kurtulma mücadelesi tarikatlar çerçevesinde gelişmiştir,0,OTHER
a23bfd90-18d4-4e23-80d8-365153e13b2f,koyun peşlerinde geziyorsun köpeklerin,1,INSULT
416fd5fb-9eb1-4d88-b3f2-65d06d11372f,fotoğraf toplumsallaşamıyor türlü,0,OTHER
779b55f4-a63c-4027-a1b2-2712d7d9f105,seni vadide bi sikerim kurt kuş kuzu bizi izler,1,PROFANITY
54b92127-f948-41d1-bab1-b87860bd16ab,bulgun yıkama sırasında ısıtıcı devre pilin giysiden çıkartılabildiğini bildirdi,0,OTHER
2be25f19-92d8-4f22-8c9b-8353c8d48b8f,itin evladı,1,INSULT
f530d9bf-fd8c-43a6-8f3a-9a19ddddae0e,eğitim programının içeriği katılımcıların kurumun ihtiyaçlarına göre oluşturulur,0,OTHER
cbe548fd-4e24-4ba8-8ced-580d4cd922b9,kadın erkeği rezil eder vezir,1,SEXIST
5188ad12-4815-454f-bf09-c64894d3354a,eşeğe kürt demişler iki hafta saman yemiş,1,RACIST
3ebb7988-33ce-4686-85cc-1cb22781359f,benimle yahudi pazarlığına girme,1,RACIST
07b00626-5b0c-4bf4-b991-0671d1a93993,anca dana yemek yiyorsun yatiyorsun,1,INSULT
dad9936e-e47a-4f13-b66f-d7f5da813209,beyni sikinden küçük,1,INSULT
d814a358-16b0-4b21-8f15-6434e02837fd,sana iyilik yapılmaz,1,INSULT
c0ebe9c5-0d36-451f-bd7d-6f9dd15c0b60,zaten kuş kadar beynin var,1,INSULT
6ec454e7-8cef-42fa-ac82-369f561fd7a4,amacımız ülkemize toplumumuza karşı sosyal sorumluluğumuzu yerine getirmek ülkemizin yarınları umut olmaktır,0,OTHER
22924d41-3e70-4c97-98b9-a83f5f362ab5,akıllı ol ona göre davran,1,INSULT
c313c7da-36e9-41bf-9401-7813d2168616,romansan ayrımcılık peşindedir,1,RACIST
